Compound,Variants,Vmax (pmol/min/pmol P450),Km (?M),CLint (Vmax/Km) (?L/min/pmol P450),Primary metabolic reaction by CYP3A4,Reference
vandetanib,CYP3A4.18,4.18,673.1,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.19,5.47,660.83,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.20,11.88,2333.33,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.23,5.55,645.87,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.24,5.11,497.07,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.28,4.57,343.33,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.29,3.56,98.71,0.04,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.31,4.63,359.93,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.32,4.09,241.2,0.02,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.33,4.15,236.97,0.02,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.34,5.02,455.17,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
